Nombre,Bailabilidad,Energ眼,G輹ero
Vivir Mi Vida,0.656,0.877,2
Llorar치s,0.704,0.884,2
Suavemente,0.811,0.88,2
Ven Dev칩rame Otra Vez,0.643,0.602,2
Yo No S칠 Ma침ana,0.653,0.827,2
Que Locura Enamorarme De Ti,0.746,0.786,2
Tu Amor Me Hace Bien - Salsa Version,0.691,0.658,2
T칰 Con 칄l,0.827,0.781,2
Flor P치lida,0.574,0.802,2
Corazon de Acero,0.608,0.769,2
Virgen,0.66,0.756,2
En Barranquilla Me Quedo,0.642,0.7,2
La Vida Es Un Carnaval,0.813,0.701,2
Tu Cari침ito,0.667,0.873,2
Tu Sonrisa,0.786,0.912,2
Persona Ideal - Me Tengo Que Ir,0.527,0.59,2
Idilio,0.527,0.715,2
Procura,0.805,0.757,2
Vali칩 la Pena - Salsa Version,0.521,0.704,2
Desn칰date Mujer,0.658,0.744,2
"Oiga, Mire, Vea",0.634,0.779,2
Ahora Quien - Salsa Version,0.553,0.632,2
Dese치ndote,0.559,0.838,2
Brujeria,0.795,0.623,2
Conteo Regresivo - Salsa Version,0.777,0.72,2
La Due침a del Swing,0.676,0.872,2
Anhelo,0.739,0.521,2
Gotas De Lluvia,0.635,0.856,2
Me Niegas,0.679,0.713,2
Aquel Lugar,0.75,0.64,2
Persona Ideal,0.467,0.715,2
Qu칠 Precio Tiene el Cielo - Salsa Version,0.42,0.843,2
Fabricando Fantas칤as - Salsa Version,0.726,0.857,2
Est치 Rico,0.817,0.74,2
Te Va A Doler,0.606,0.839,2
El D칤a De Mi Suerte,0.56,0.855,2
Rebeli칩n,0.565,0.778,2
Vivir Lo Nuestro,0.636,0.672,2
Y Hubo Alguien,0.474,0.879,2
Manos de Tijera,0.733,0.684,2
El Cantante,0.549,0.498,2
Talento De Televisi칩n,0.779,0.796,2
Casi Te Envidio,0.67,0.567,2
Mi Mayor Venganza,0.42,0.753,2
Lluvia,0.639,0.729,2
Parecen Viernes,0.658,0.863,2
Quimbara,0.6,0.633,2
Una Aventura,0.699,0.83,2
Amores Como el Nuestro,0.679,0.62,2
TQG,0.72,0.63,1
Me Porto Bonito,0.911,0.712,1
Tit칤 Me Pregunt칩,0.65,0.715,1
Chanel,0.852,0.675,1
Classy 101,0.859,0.658,1
Efecto,0.801,0.475,1
Ojitos Lindos,0.647,0.686,1
Gato de Noche,0.892,0.662,1
LA CANCI칍N,0.754,0.646,1
Moscow Mule,0.804,0.674,1
Mejor Que Yo,0.624,0.655,1
Mas Rica Que Ayer,0.818,0.666,1
Yandel 150,0.783,0.729,1
La Bachata,0.835,0.679,1
CHORRITO PA LAS ANIMAS,0.743,0.831,1
Neverita,0.876,0.498,1
Hey Mor,0.901,0.589,1
PROVENZA,0.87,0.517,1
Party,0.829,0.799,1
EL HECHIZO,0.664,0.529,1
X SI VOLVEMOS,0.794,0.807,1
MA칌ANA SER츼 BONITO,0.777,0.715,1
AMARGURA,0.92,0.696,1
No Me Conoce - Remix,0.804,0.787,1
TUS GAFITAS,0.821,0.696,1
Yonaguni,0.644,0.648,1
Feliz Cumplea침os Ferxxo,0.865,0.573,1
REMIX EXCLUSIVO,0.651,0.557,1
La Jumpa,0.713,0.703,1
Tarot,0.795,0.684,1
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,1
Ni침a Bonita,0.823,0.615,1
Pepas,0.762,0.766,1
Gasolina,0.852,0.797,1
GUCCI LOS PA칌OS,0.791,0.45,1
CAIRO,0.957,0.677,1
D츼KITI,0.731,0.573,1
Dile,0.817,0.714,1
VACAXIONES,0.558,0.69,1
FRIKI,0.826,0.878,1
BESTIES,0.779,0.825,1
LOKERA,0.836,0.826,1
La Corriente,0.663,0.786,1
Es un Secreto,0.841,0.783,1
To the Hellfire,0.388,0.83,0
Doomswitch,0.249,0.951,0
Pain Remains I: Dancing Like Flames,0.29,0.799,0
Of the Abyss,0.236,0.888,0
Sun//Eater,0.245,0.889,0
Erase Me,0.488,0.903,0
Step One,0.379,0.502,0
Ghost Of Me,0.318,0.922,0
"Pain Remains II: After All I've Done, I'll Disappear",0.33,0.862,0
Pain Remains III: In a Sea of Fire,0.181,0.839,0
"Welcome Back, O' Sleeping Dreamer",0.203,0.843,0
Leech,0.254,0.98,0
Into the Earth,0.359,0.828,0
Cursed to Die,0.394,0.948,0
Hollowed Heart,0.372,0.985,0
Bones,0.29,0.869,0
Gutless,0.383,0.975,0
...And I Return to Nothingness,0.392,0.922,0
Nymphetamine Fix,0.462,0.905,0
My Meds Aren't Working,0.288,0.792,0
Freezing Moon,0.168,0.974,0
In Death,0.551,0.965,0
Soulless Existence,0.414,0.93,0
Chainsaw Gutsfuck,0.249,0.828,0
Immortal,0.398,0.871,0
I Long for Rest,0.53,0.833,0
Apotheosis,0.212,0.831,0
Puritania,0.303,0.969,0
Wrath,0.215,0.922,0
Dunkelheit,0.295,0.545,0
Backstabber,0.29,0.959,0
Contraband (feat. Courtney LaPlante),0.475,0.959,0
Slaughter,0.294,0.971,0
Ov Fire And The Void,0.465,0.978,0
The Attendant,0.437,0.757,0
The Fool,0.469,0.99,0
Godless,0.462,0.991,0
King Ov Deception,0.424,0.848,0
In Constraints,0.34,0.94,0
Blow Your Trumpets Gabriel,0.173,0.938,0
Dream House,0.1,0.804,0
Deathcrush,0.219,0.908,0
FTBS,0.265,0.912,0
Stress Builds Character,0.286,0.78,0
Fear of Failure,0.246,0.924,0
Deathmask Divine,0.432,0.982,0
